sample_id,model,model_output_ingredients,ground_truth_ingredients,ingredients_accuracy_0_100
upload_1753053088887_e0087c65-7b21-4e50-9878-19401e3fbe93,gpt-4.1,"[{""name"": ""tomato"", ""impact"": ""green""}, {""name"": ""egg"", ""impact"": ""green""}, {""name"": ""seasoning (possibly grated cheese or nutritional yeast)"", ""impact"": ""yellow""}]","[{""name"": ""eggs (2)"", ""impact"": ""green""}, {""name"": ""tomatoes (1 medium)"", ""impact"": ""green""}, {""name"": ""grated cheese or nutritional yeast (small sprinkle)"", ""impact"": ""yellow""}]",0.00
upload_1753053107804_3f319949-c893-46d1-b54e-378b675e43f8,gpt-4.1,"[{""name"": ""whole wheat flour"", ""impact"": ""green""}, {""name"": ""water"", ""impact"": ""green""}, {""name"": ""yeast"", ""impact"": ""green""}, {""name"": ""salt"", ""impact"": ""yellow""}, {""name"": ""sugar"", ""impact"": ""yellow""}]","[{""name"": ""whole wheat flour"", ""impact"": ""yellow""}, {""name"": ""water"", ""impact"": ""green""}, {""name"": ""yeast"", ""impact"": ""green""}, {""name"": ""salt"", ""impact"": ""green""}, {""name"": ""grains/seeds (varies)"", ""impact"": ""green""}]",40.00
upload_1753053145042_b9a83e6d-33f1-46f0-a73f-cd7f73e5c3c0,gpt-4.1,"[{""name"": ""water"", ""impact"": ""green""}, {""name"": ""ice"", ""impact"": ""green""}]","[{""name"": ""water"", ""impact"": ""green""}, {""name"": ""ice"", ""impact"": ""green""}]",100.00
upload_1753053184717_40b4257a-d26b-4f61-a684-e939291e0d99,gpt-4.1,"[{""name"": ""apple"", ""impact"": ""green""}]","[{""name"": ""apple"", ""impact"": ""yellow""}]",0.00
upload_1753053217022_73c60e40-9950-4c69-8625-9eb92923f379,gpt-4.1,"[{""name"": ""red grapes"", ""impact"": ""green""}]","[{""name"": ""grapes"", ""impact"": ""yellow""}]",0.00
upload_1753053277090_02101e96-ba76-4f39-8980-65db616ad82f,gpt-4.1,"[{""name"": ""apple"", ""impact"": ""green""}, {""name"": ""banana"", ""impact"": ""green""}, {""name"": ""pear"", ""impact"": ""green""}]","[{""name"": ""apple"", ""impact"": ""yellow""}, {""name"": ""banana"", ""impact"": ""yellow""}, {""name"": ""pear"", ""impact"": ""yellow""}]",0.00
upload_1753053311667_d3574386-8d95-4b91-b5c6-0ee2fecb639a,gpt-4.1,"[{""name"": ""pizza crust"", ""impact"": ""yellow""}, {""name"": ""cheese"", ""impact"": ""red""}, {""name"": ""tomato sauce"", ""impact"": ""green""}, {""name"": ""mixed vegetables"", ""impact"": ""green""}, {""name"": ""olive oil"", ""impact"": ""yellow""}, {""name"": ""herbs"", ""impact"": ""green""}]","[{""name"": ""pizza crust (white flour)"", ""impact"": ""red""}, {""name"": ""mozzarella cheese"", ""impact"": ""yellow""}, {""name"": ""tomato sauce"", ""impact"": ""yellow""}, {""name"": ""bell peppers"", ""impact"": ""green""}, {""name"": ""black olives"", ""impact"": ""yellow""}, {""name"": ""herbs"", ""impact"": ""green""}]",16.67
upload_1753053337006_b38485b7-124a-401e-bf24-65359c9e90d0,gpt-4.1,"[{""name"": ""potatoes"", ""impact"": ""yellow""}]","[{""name"": ""potato"", ""impact"": ""yellow""}]",0.00
upload_1753053995329_8844fe76-9209-488e-adf3-7a13fe0c6f81,gpt-4.1,"[{""name"": ""chicken breast"", ""impact"": ""green""}, {""name"": ""zucchini"", ""impact"": ""green""}, {""name"": ""eggs"", ""impact"": ""green""}, {""name"": ""cooking oil"", ""impact"": ""yellow""}, {""name"": ""spices/seasoning"", ""impact"": ""green""}]","[{""name"": ""chicken breast"", ""impact"": ""green""}, {""name"": ""zucchini"", ""impact"": ""green""}, {""name"": ""eggs"", ""impact"": ""green""}, {""name"": ""olive oil (possible for cooking)"", ""impact"": ""green""}, {""name"": ""spices/seasoning"", ""impact"": ""green""}]",80.00
upload_1753054028270_f5833fb2-5b4f-45b5-9da8-a2cd7b10c97d,gpt-4.1,"[{""name"": ""flatbread"", ""impact"": ""red""}, {""name"": ""minced meat"", ""impact"": ""yellow""}, {""name"": ""onions"", ""impact"": ""green""}, {""name"": ""tomatoes"", ""impact"": ""green""}, {""name"": ""spices"", ""impact"": ""green""}, {""name"": ""oil"", ""impact"": ""red""}]","[{""name"": ""flatbread/pizza dough"", ""impact"": ""red""}, {""name"": ""ground meat (beef or lamb)"", ""impact"": ""green""}, {""name"": ""onions"", ""impact"": ""green""}, {""name"": ""tomatoes"", ""impact"": ""green""}, {""name"": ""parsley"", ""impact"": ""green""}, {""name"": ""olive oil"", ""impact"": ""yellow""}, {""name"": ""spices (paprika, black pepper, etc.)"", ""impact"": ""green""}]",28.57
upload_1753054127030_3f2421d7-8517-4a68-a37e-f2c3fae607db,gpt-4.1,"[{""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""carrots"", ""impact"": ""green""}, {""name"": ""broccoli stems"", ""impact"": ""green""}, {""name"": ""vinaigrette dressing"", ""impact"": ""yellow""}]","[{""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""shredded carrots"", ""impact"": ""yellow""}, {""name"": ""shredded cabbage"", ""impact"": ""green""}, {""name"": ""vinaigrette dressing"", ""impact"": ""yellow""}]",50.00
upload_1753054171499_5bc0643b-9294-4412-b80f-3b9c75b2e29b,gpt-4.1,"[{""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""spinach"", ""impact"": ""green""}, {""name"": ""tomato"", ""impact"": ""green""}, {""name"": ""mixed greens"", ""impact"": ""green""}]","[{""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""spinach"", ""impact"": ""green""}, {""name"": ""tomato"", ""impact"": ""green""}, {""name"": ""light vinaigrette (optional)"", ""impact"": ""yellow""}]",75.00
upload_1753068426109_e9f92f5b-5160-494e-9ff7-32be49b9dca2,gpt-4.1,"[{""name"": ""cucumber"", ""impact"": ""green""}, {""name"": ""tomato"", ""impact"": ""green""}, {""name"": ""feta cheese"", ""impact"": ""yellow""}, {""name"": ""beetroot"", ""impact"": ""green""}, {""name"": ""sweetcorn"", ""impact"": ""yellow""}, {""name"": ""carrots"", ""impact"": ""green""}, {""name"": ""peas"", ""impact"": ""green""}, {""name"": ""broccoli"", ""impact"": ""green""}, {""name"": ""potato"", ""impact"": ""yellow""}, {""name"": ""spinach"", ""impact"": ""green""}, {""name"": ""chicken"", ""impact"": ""green""}, {""name"": ""pasta"", ""impact"": ""yellow""}]","[{""name"": ""sweetcorn"", ""impact"": ""yellow""}, {""name"": ""cooked root vegetables (carrots, peas, potatoes)"", ""impact"": ""yellow""}, {""name"": ""steamed greens (spinach/broccoli)"", ""impact"": ""green""}, {""name"": ""pasta"", ""impact"": ""yellow""}, {""name"": ""shredded chicken or turkey"", ""impact"": ""green""}, {""name"": ""cucumber and tomato salad (possibly with feta cheese)"", ""impact"": ""green""}, {""name"": ""beetroot"", ""impact"": ""yellow""}]",28.57
upload_1753199632104_3a898757-6efe-49de-ab61-6195be57723c,gpt-4.1,"[{""name"": ""carrot"", ""impact"": ""green""}]","[{""name"": ""carrot"", ""impact"": ""green""}]",100.00
upload_1753199710361_657a23e2-1ed3-4b67-86cb-e5b5b76d0cc5,gpt-4.1,"[{""name"": ""miso paste"", ""impact"": ""green""}, {""name"": ""seaweed"", ""impact"": ""green""}, {""name"": ""tofu"", ""impact"": ""green""}, {""name"": ""green onions"", ""impact"": ""green""}, {""name"": ""water"", ""impact"": ""green""}]","[{""name"": ""miso paste"", ""impact"": ""green""}, {""name"": ""seaweed"", ""impact"": ""green""}, {""name"": ""green onion"", ""impact"": ""green""}, {""name"": ""tofu (sometimes included)"", ""impact"": ""green""}, {""name"": ""dashi broth"", ""impact"": ""green""}]",40.00
upload_1753200023630_697c8163-ee91-4c75-85b8-ad4a947e9e74,gpt-4.1,"[{""name"": ""pizza dough"", ""impact"": ""red""}, {""name"": ""cheese"", ""impact"": ""red""}, {""name"": ""ham"", ""impact"": ""red""}, {""name"": ""tomato sauce"", ""impact"": ""yellow""}, {""name"": ""black olives"", ""impact"": ""yellow""}]","[{""name"": ""pizza dough (refined flour)"", ""impact"": ""red""}, {""name"": ""tomato sauce"", ""impact"": ""green""}, {""name"": ""cheese"", ""impact"": ""yellow""}, {""name"": ""ham"", ""impact"": ""yellow""}, {""name"": ""olives"", ""impact"": ""yellow""}, {""name"": ""herbs"", ""impact"": ""green""}]",0.00
upload_1753200276846_5e3f6aab-de91-48e1-849a-eebc0300e207,gpt-4.1,"[{""name"": ""grilled chicken"", ""impact"": ""green""}, {""name"": ""romaine lettuce"", ""impact"": ""green""}, {""name"": ""cucumber"", ""impact"": ""green""}, {""name"": ""feta cheese"", ""impact"": ""yellow""}, {""name"": ""caesar dressing"", ""impact"": ""yellow""}]","[{""name"": ""grilled chicken breast"", ""impact"": ""green""}, {""name"": ""romaine lettuce"", ""impact"": ""green""}, {""name"": ""cucumbers"", ""impact"": ""green""}, {""name"": ""feta cheese"", ""impact"": ""yellow""}, {""name"": ""creamy salad dressing"", ""impact"": ""yellow""}]",40.00
upload_1753203870259_fa36a429-304f-4b3c-b6e0-3519beaece88,gpt-4.1,"[{""name"": ""green grapes"", ""impact"": ""green""}, {""name"": ""fig"", ""impact"": ""green""}]","[{""name"": ""green grapes"", ""impact"": ""yellow""}, {""name"": ""fig"", ""impact"": ""yellow""}]",0.00
upload_1753210424880_8af29a21-30dc-4b8a-b26b-24215e050a3f,gpt-4.1,"[{""name"": ""sesame seed bun"", ""impact"": ""red""}, {""name"": ""beef patty"", ""impact"": ""red""}, {""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""tomato"", ""impact"": ""green""}, {""name"": ""sauce (likely ketchup or similar)"", ""impact"": ""yellow""}]","[{""name"": ""sesame seed hamburger bun"", ""impact"": ""red""}, {""name"": ""beef patty"", ""impact"": ""green""}, {""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""tomato"", ""impact"": ""green""}, {""name"": ""jalapeno"", ""impact"": ""green""}, {""name"": ""condiments (possible ketchup/mustard)"", ""impact"": ""yellow""}]",33.33
upload_1753211834887_fce7ded2-46f9-47f1-ad3e-667e7d7a06c3,gpt-4.1,"[{""name"": ""white fish fillet"", ""impact"": ""green""}, {""name"": ""sauerkraut"", ""impact"": ""green""}]","[{""name"": ""white fish fillet (baked)"", ""impact"": ""green""}, {""name"": ""sauerkraut"", ""impact"": ""green""}, {""name"": ""olive oil (if used for baking)"", ""impact"": ""green""}, {""name"": ""seasonings (salt, pepper)"", ""impact"": ""green""}]",25.00
upload_1753211882695_715dc254-cac3-4122-a437-3f9d756e85b7,gpt-4.1,"[{""name"": ""white fish fillet"", ""impact"": ""green""}, {""name"": ""sauerkraut"", ""impact"": ""green""}]","[{""name"": ""white fish fillet"", ""impact"": ""green""}, {""name"": ""sauerkraut"", ""impact"": ""green""}]",100.00
upload_1753212036729_b69c6c19-248c-45b9-be7e-5e50eda48a04,gpt-4.1,"[{""name"": ""granola"", ""impact"": ""yellow""}, {""name"": ""milk"", ""impact"": ""green""}]","[{""name"": ""oats"", ""impact"": ""yellow""}, {""name"": ""milk or water"", ""impact"": ""green""}, {""name"": ""nuts (almonds, walnuts)"", ""impact"": ""green""}, {""name"": ""seeds (chia, flaxseed)"", ""impact"": ""green""}, {""name"": ""sweetener (if any)"", ""impact"": ""red""}]",0.00
upload_1749840444495_ce8fbfbc-988e-4ee6-9e52-d7ebdf4a58bc,gpt-5-mini,"[{""name"": ""refined wheat flour (white flour)"", ""impact"": ""yellow""}, {""name"": ""yeast"", ""impact"": ""green""}, {""name"": ""sugar"", ""impact"": ""yellow""}, {""name"": ""salt"", ""impact"": ""yellow""}, {""name"": ""vegetable oil or butter"", ""impact"": ""yellow""}, {""name"": ""milk or egg wash (glaze)"", ""impact"": ""yellow""}, {""name"": ""sweetened fruit drink (juice box)"", ""impact"": ""red""}]","[{""name"": ""refined wheat flour"", ""impact"": ""red""}, {""name"": ""sugar"", ""impact"": ""red""}, {""name"": ""butter or oil"", ""impact"": ""yellow""}, {""name"": ""yeast"", ""impact"": ""green""}, {""name"": ""salt"", ""impact"": ""green""}, {""name"": ""water"", ""impact"": ""green""}]",16.67
upload_1749840712880_d8cedf37-9bdb-4ff5-8e21-6a6a740ae409,gpt-5-mini,"[{""name"": ""broccoli (steamed)"", ""impact"": ""green""}, {""name"": ""cauliflower (steamed)"", ""impact"": ""green""}, {""name"": ""sautéed leafy greens (spinach/kale)"", ""impact"": ""green""}, {""name"": ""couscous (or similar grain)"", ""impact"": ""yellow""}, {""name"": ""hummus (small dollop)"", ""impact"": ""green""}, {""name"": ""onion ring (fried)"", ""impact"": ""red""}, {""name"": ""olive oil (used for cooking)"", ""impact"": ""yellow""}]","[{""name"": ""broccoli"", ""impact"": ""green""}, {""name"": ""spinach"", ""impact"": ""green""}, {""name"": ""cauliflower"", ""impact"": ""green""}, {""name"": ""couscous"", ""impact"": ""yellow""}, {""name"": ""fried onion ring"", ""impact"": ""red""}, {""name"": ""dip/sauce (likely hummus)"", ""impact"": ""yellow""}]",0.00
upload_1749840740344_7e95ee66-1e26-4892-9ce4-b79960061c19,gpt-5-mini,"[{""name"": ""carrots"", ""impact"": ""green""}, {""name"": ""mushrooms"", ""impact"": ""green""}, {""name"": ""zucchini / yellow squash"", ""impact"": ""green""}, {""name"": ""olive oil and herbs (cooking fat and seasoning)"", ""impact"": ""yellow""}, {""name"": ""small processed meat or pâté garnish"", ""impact"": ""red""}]","[{""name"": ""carrots"", ""impact"": ""yellow""}, {""name"": ""zucchini"", ""impact"": ""green""}, {""name"": ""mushrooms"", ""impact"": ""green""}, {""name"": ""onion"", ""impact"": ""yellow""}, {""name"": ""minced meat"", ""impact"": ""green""}, {""name"": ""herbs/seasoning"", ""impact"": ""green""}]",16.67
upload_1749841037102_96ccbf66-4c05-45dc-8920-fd6ef54fcd0d,gpt-5-mini,"[{""name"": ""white rice"", ""impact"": ""yellow""}, {""name"": ""black beans"", ""impact"": ""green""}, {""name"": ""tomato salsa / stewed tomatoes"", ""impact"": ""green""}, {""name"": ""shredded cheese or crema"", ""impact"": ""yellow""}, {""name"": ""fresh herbs (cilantro)"", ""impact"": ""green""}, {""name"": ""toasted seeds or nuts (garnish)"", ""impact"": ""green""}]","[{""name"": ""white rice"", ""impact"": ""red""}, {""name"": ""black beans"", ""impact"": ""green""}, {""name"": ""salsa (tomato, onion, pepper)"", ""impact"": ""green""}, {""name"": ""sour cream or cheese"", ""impact"": ""yellow""}, {""name"": ""cilantro/herbs"", ""impact"": ""green""}]",20.00
upload_1749841435404_d2ac9183-048d-4cec-9b9b-a878628e4b30,gpt-5-mini,"[{""name"": ""plain yogurt"", ""impact"": ""green""}, {""name"": ""blueberries"", ""impact"": ""green""}, {""name"": ""red currants"", ""impact"": ""green""}]","[{""name"": ""plain yogurt (unsweetened, low-fat)"", ""impact"": ""green""}, {""name"": ""blueberries"", ""impact"": ""green""}, {""name"": ""red currants"", ""impact"": ""green""}]",66.67
upload_1749841861682_5e0c8e9d-bcff-4db4-bd59-62aa98119dec,gpt-5-mini,"[{""name"": ""potatoes (scalloped/au gratin)"", ""impact"": ""yellow""}, {""name"": ""cream/cheese sauce"", ""impact"": ""red""}, {""name"": ""carrots (steamed)"", ""impact"": ""green""}, {""name"": ""broccoli (steamed)"", ""impact"": ""green""}, {""name"": ""butter or oil (used in cooking)"", ""impact"": ""red""}]","[{""name"": ""potatoes"", ""impact"": ""yellow""}, {""name"": ""carrots"", ""impact"": ""green""}, {""name"": ""broccoli"", ""impact"": ""green""}, {""name"": ""cream sauce (milk/cheese/butter)"", ""impact"": ""yellow""}]",0.00
upload_1749843287038_40cbba8a-21fa-447a-88ce-54e9d8f8708a,gpt-5-mini,"[{""name"": ""paratha (flatbread)"", ""impact"": ""red""}, {""name"": ""white rice"", ""impact"": ""red""}, {""name"": ""dal (lentil curry)"", ""impact"": ""green""}, {""name"": ""green vegetable curry (e.g., spinach)"", ""impact"": ""green""}, {""name"": ""ghee / butter"", ""impact"": ""red""}, {""name"": ""yogurt / raita"", ""impact"": ""yellow""}, {""name"": ""papad (crispy lentil wafer)"", ""impact"": ""yellow""}, {""name"": ""pickle / chutney"", ""impact"": ""yellow""}]","[{""name"": ""chapati (wheat flatbread)"", ""impact"": ""yellow""}, {""name"": ""steamed white rice"", ""impact"": ""red""}, {""name"": ""dal (lentil soup)"", ""impact"": ""green""}, {""name"": ""vegetable curry"", ""impact"": ""green""}, {""name"": ""yogurt"", ""impact"": ""green""}, {""name"": ""papad (poppadom)"", ""impact"": ""yellow""}, {""name"": ""ghee (clarified butter)"", ""impact"": ""red""}, {""name"": ""pickle"", ""impact"": ""yellow""}]",0.00
upload_1749843713632_58c8331c-7aec-4895-a51b-cb92988cade5,gpt-5-mini,"[{""name"": ""water or base liquid"", ""impact"": ""green""}, {""name"": ""possible broth or stock (unconfirmed)"", ""impact"": ""yellow""}, {""name"": ""possible salt or seasonings (unconfirmed)"", ""impact"": ""yellow""}]","[{""name"": ""hot water"", ""impact"": ""green""}, {""name"": ""ginger"", ""impact"": ""green""}, {""name"": ""lemon juice"", ""impact"": ""green""}, {""name"": ""vitamin d+k drops"", ""impact"": ""green""}]",0.00
upload_1749850518596_ae5c6336-732a-432f-a1c1-a64db860a708,gpt-5-mini,"[{""name"": ""espresso (coffee)"", ""impact"": ""green""}, {""name"": ""wheat flour"", ""impact"": ""yellow""}, {""name"": ""granulated sugar"", ""impact"": ""red""}, {""name"": ""butter or oil"", ""impact"": ""red""}, {""name"": ""eggs"", ""impact"": ""green""}, {""name"": ""salt"", ""impact"": ""green""}]","[{""name"": ""espresso coffee"", ""impact"": ""green""}, {""name"": ""sugar (in cake)"", ""impact"": ""red""}, {""name"": ""flour (in cake)"", ""impact"": ""yellow""}, {""name"": ""butter or oil (in cake)"", ""impact"": ""yellow""}, {""name"": ""egg (in cake)"", ""impact"": ""green""}]",0.00
upload_1749865296179_d1a4da8d-8804-480e-b835-072f845e11f8,gpt-5-mini,"[{""name"": ""tortilla (flatbread)"", ""impact"": ""yellow""}, {""name"": ""scrambled eggs"", ""impact"": ""green""}, {""name"": ""sliced processed meat (hot dog/sausage)"", ""impact"": ""red""}, {""name"": ""cooking oil or butter"", ""impact"": ""yellow""}, {""name"": ""salt/seasoning"", ""impact"": ""yellow""}]","[{""name"": ""flour tortilla"", ""impact"": ""red""}, {""name"": ""egg"", ""impact"": ""green""}, {""name"": ""black beans"", ""impact"": ""yellow""}, {""name"": ""onion"", ""impact"": ""green""}, {""name"": ""oil or butter"", ""impact"": ""yellow""}]",0.00
upload_1749869835174_55f1390a-6ea3-4033-a016-b8a4c30d28a1,gpt-5-mini,"[{""name"": ""raw tuna (diced)"", ""impact"": ""green""}, {""name"": ""avocado"", ""impact"": ""green""}, {""name"": ""soy-based marinade / sauce"", ""impact"": ""yellow""}, {""name"": ""fish roe"", ""impact"": ""yellow""}, {""name"": ""green onion / scallion"", ""impact"": ""green""}, {""name"": ""sesame oil (possible in dressing)"", ""impact"": ""yellow""}]","[{""name"": ""tuna"", ""impact"": ""green""}, {""name"": ""avocado"", ""impact"": ""green""}, {""name"": ""fish roe"", ""impact"": ""green""}, {""name"": ""soy-based sauce or dressing"", ""impact"": ""yellow""}]",25.00
upload_1749872693154_5d23dac1-9118-4776-ad69-9853f8e513fa,gpt-5-mini,"[{""name"": ""sushi rice"", ""impact"": ""yellow""}, {""name"": ""seared beef"", ""impact"": ""red""}, {""name"": ""jalapeño"", ""impact"": ""green""}, {""name"": ""spicy mayo / torched glaze"", ""impact"": ""red""}, {""name"": ""soy sauce (dipping)"", ""impact"": ""yellow""}, {""name"": ""wasabi"", ""impact"": ""green""}, {""name"": ""pickled ginger"", ""impact"": ""yellow""}]","[{""name"": ""sushi rice"", ""impact"": ""yellow""}, {""name"": ""beef (seared)"", ""impact"": ""green""}, {""name"": ""sliced peppers"", ""impact"": ""green""}, {""name"": ""wasabi"", ""impact"": ""green""}, {""name"": ""pickled ginger"", ""impact"": ""green""}, {""name"": ""soy sauce (optional)"", ""impact"": ""yellow""}]",33.33
upload_1749875264239_2a7fbe6a-e779-46e6-ac22-82d88a66ea3c,gpt-5-mini,"[{""name"": ""strawberries"", ""impact"": ""green""}, {""name"": ""creamy component (mascarpone/meringue/whipped cream)"", ""impact"": ""red""}, {""name"": ""granita / sweetened shaved ice"", ""impact"": ""red""}, {""name"": ""crushed pistachios"", ""impact"": ""yellow""}]","[{""name"": ""strawberries"", ""impact"": ""yellow""}, {""name"": ""burrata cheese"", ""impact"": ""green""}, {""name"": ""granita (sweetened ice)"", ""impact"": ""red""}, {""name"": ""pistachios"", ""impact"": ""green""}]",0.00
upload_1750038317524_55c71fd4-30e1-4e8b-93f8-86e6094f31b3,gpt-5-mini,"[{""name"": ""penne pasta"", ""impact"": ""yellow""}, {""name"": ""cheddar (or cheese sauce)"", ""impact"": ""red""}, {""name"": ""butter/cream in sauce"", ""impact"": ""red""}, {""name"": ""breadcrumb topping"", ""impact"": ""yellow""}, {""name"": ""milk (in sauce)"", ""impact"": ""yellow""}, {""name"": ""salt and seasonings"", ""impact"": ""yellow""}]","[{""name"": ""pasta (rigatoni or ziti)"", ""impact"": ""red""}, {""name"": ""cheese (likely cheddar and/or mozzarella)"", ""impact"": ""yellow""}, {""name"": ""milk/cream"", ""impact"": ""yellow""}, {""name"": ""butter"", ""impact"": ""yellow""}, {""name"": ""bread crumbs/croutons"", ""impact"": ""red""}]",0.00
upload_1750038497319_6a3082e9-034c-4015-9eeb-9545000073c9,gpt-5-mini,"[{""name"": ""eggs"", ""impact"": ""green""}, {""name"": ""uncured bacon"", ""impact"": ""red""}, {""name"": ""gouda cheese"", ""impact"": ""red""}, {""name"": ""heavy cream"", ""impact"": ""red""}, {""name"": ""salt"", ""impact"": ""red""}, {""name"": ""natural flavors/seasonings"", ""impact"": ""yellow""}]","[{""name"": ""eggs"", ""impact"": ""green""}, {""name"": ""uncured bacon"", ""impact"": ""yellow""}, {""name"": ""gouda cheese"", ""impact"": ""yellow""}, {""name"": ""milk/cream"", ""impact"": ""yellow""}, {""name"": ""seasoning"", ""impact"": ""green""}]",20.00
upload_1750091798026_6bfd2714-28cc-4f8e-9df2-8ceb92a5a071,gpt-5-mini,"[{""name"": ""refined wheat flour"", ""impact"": ""red""}, {""name"": ""sugar"", ""impact"": ""red""}, {""name"": ""vegetable oil or butter"", ""impact"": ""red""}, {""name"": ""salt"", ""impact"": ""yellow""}, {""name"": ""baking powder"", ""impact"": ""green""}, {""name"": ""eggs (possible)"", ""impact"": ""yellow""}, {""name"": ""milk or milk powder (possible)"", ""impact"": ""yellow""}]","[{""name"": ""refined flour"", ""impact"": ""red""}, {""name"": ""sugar"", ""impact"": ""red""}, {""name"": ""butter"", ""impact"": ""yellow""}, {""name"": ""eggs"", ""impact"": ""green""}, {""name"": ""baking powder"", ""impact"": ""green""}, {""name"": ""vanilla extract"", ""impact"": ""green""}]",33.33
upload_1750097681033_c71afe76-f144-4a19-9dd3-19a1178957f4,gpt-5-mini,"[{""name"": ""orange (fruit)"", ""impact"": ""green""}]","[{""name"": ""orange"", ""impact"": ""yellow""}]",0.00
upload_1750097765140_1dccfd72-61d7-462c-b163-f5b7c348b547,gpt-5-mini,"[{""name"": ""toasted white bread"", ""impact"": ""yellow""}, {""name"": ""meat pâté (liver-based spread)"", ""impact"": ""red""}, {""name"": ""foie gras / rich liver terrine"", ""impact"": ""red""}, {""name"": ""mâche (lamb's lettuce) salad"", ""impact"": ""green""}, {""name"": ""light vinaigrette dressing"", ""impact"": ""yellow""}]","[{""name"": ""toasted white bread"", ""impact"": ""red""}, {""name"": ""leafy greens (lamb's lettuce or similar)"", ""impact"": ""green""}, {""name"": ""pâté"", ""impact"": ""yellow""}, {""name"": ""foie gras"", ""impact"": ""yellow""}, {""name"": ""salad dressing (possibly creamy)"", ""impact"": ""yellow""}]",0.00
upload_1750097815654_0a961795-6af4-447c-a0a5-71f98ea66240,gpt-5-mini,"[{""name"": ""kiwi (green)"", ""impact"": ""green""}]","[{""name"": ""kiwi"", ""impact"": ""green""}]",0.00
upload_1750097849597_00cf91d6-e95f-4880-b120-76efe150b1b8,gpt-5-mini,"[{""name"": ""leafy lettuce"", ""impact"": ""green""}, {""name"": ""mixed salad greens"", ""impact"": ""green""}, {""name"": ""yellow bell pepper"", ""impact"": ""green""}]","[{""name"": ""leafy greens (lettuce, romaine, etc.)"", ""impact"": ""green""}, {""name"": ""yellow bell pepper"", ""impact"": ""green""}]",50.00
upload_1750097945898_eefbeb4b-8dda-4ced-a7df-7e653d5c471b,gpt-5-mini,"[{""name"": ""white rice"", ""impact"": ""yellow""}]","[{""name"": ""white rice"", ""impact"": ""red""}, {""name"": ""water"", ""impact"": ""green""}]",0.00
upload_1750100382667_e5dd5b7c-5a38-4304-b3a7-d8209c5d59a2,gpt-5-mini,"[{""name"": ""romaine / leafy greens"", ""impact"": ""green""}, {""name"": ""mashed avocado"", ""impact"": ""green""}, {""name"": ""seasoned grilled/roasted protein pieces"", ""impact"": ""yellow""}, {""name"": ""creamy yellow mash (eggs or polenta/mashed potato)"", ""impact"": ""yellow""}, {""name"": ""pickled radish"", ""impact"": ""green""}, {""name"": ""herb-based dressing or sauce"", ""impact"": ""yellow""}]","[{""name"": ""grilled chicken"", ""impact"": ""green""}, {""name"": ""romaine lettuce"", ""impact"": ""green""}, {""name"": ""pickled vegetables"", ""impact"": ""green""}, {""name"": ""herb-based green dressing"", ""impact"": ""yellow""}, {""name"": ""mashed potatoes or polenta"", ""impact"": ""yellow""}]",0.00
upload_1750176632186_7794b8b1-1eec-489d-a7d2-8ff1d8e94e22,gpt-5-mini,"[{""name"": ""sausage patty"", ""impact"": ""red""}, {""name"": ""scrambled eggs"", ""impact"": ""yellow""}, {""name"": ""ketchup"", ""impact"": ""yellow""}, {""name"": ""black coffee"", ""impact"": ""green""}]","[{""name"": ""scrambled eggs"", ""impact"": ""green""}, {""name"": ""sausage patty"", ""impact"": ""yellow""}, {""name"": ""hash brown"", ""impact"": ""red""}, {""name"": ""ketchup"", ""impact"": ""red""}, {""name"": ""black coffee"", ""impact"": ""green""}]",20.00
upload_1750180230407_6e49bf45-0e0b-4817-9cb1-2f8e10df6977,gpt-5-mini,"[{""name"": ""brewed coffee"", ""impact"": ""green""}, {""name"": ""milk or creamer (small amount)"", ""impact"": ""yellow""}, {""name"": ""added sugar or sweetener (optional)"", ""impact"": ""red""}]","[{""name"": ""coffee"", ""impact"": ""green""}, {""name"": ""water"", ""impact"": ""green""}]",0.00
upload_1750180679848_2b308ff1-fe70-46bb-b6a4-e1ef01c9d181,gpt-5-mini,"[{""name"": ""sesame bun"", ""impact"": ""yellow""}, {""name"": ""beef patty"", ""impact"": ""red""}, {""name"": ""melted cheese"", ""impact"": ""red""}, {""name"": ""tomato"", ""impact"": ""green""}, {""name"": ""arugula"", ""impact"": ""green""}, {""name"": ""fries"", ""impact"": ""red""}, {""name"": ""cooking oil / grill fat"", ""impact"": ""yellow""}]","[{""name"": ""sesame seed bun"", ""impact"": ""red""}, {""name"": ""beef patty"", ""impact"": ""green""}, {""name"": ""cheese"", ""impact"": ""yellow""}, {""name"": ""tomato"", ""impact"": ""green""}, {""name"": ""arugula/lettuce"", ""impact"": ""green""}]",20.00
upload_1750180959631_d9fa7e84-e4ef-4c30-8388-142ae1861f79,gpt-5-mini,"[{""name"": ""white wine"", ""impact"": ""yellow""}]","[{""name"": ""white wine"", ""impact"": ""red""}]",0.00
